"€","EUR","Euro","1.00000",'%n',"a" 
"£","GBP","British pound","0.74519", '%n',"b"
"CHF","CHF","Swiss franc","1.08600", '%n',"a"
"$","USD","United States dollar","1.08609", '%i',"b"
"Lek","ALL","Albanian lek","0.96860", '%i',"a"
"p.","BYR","Belarusian ruble","0.96860", '%i',"a"
"лв","BGN","Bulgarian lev","1.95579", '%i',"a"
"kn","HRK","Croatian kuna","7.64266", '%i',"a"
"Kč","CZK","Czech koruna","27.02187", '%i',"a"
"kr","DKK","Danish krone","7.45977", '%i',"a"
"kr","EEK","Estonian kroon","0.96860", '%i',"a"
"Ft","HUF","Hungarian forint","315.52847", '%i',"a"
"kr","ISK","Icelandic króna","0.96860", '%i',"a"
"Ls","LVL","Latvian lats","0.96860", '%i',"a"
"Lt","LTL","Lithuanian litas","0.96860", '%i',"a"
"ден","MKD","Macedonian denar","0.96860", '%i',"a"
"L ","MDL","Moldovan leu","0.96860", '%i',"a"
"kr","NOK","Norwegian krone","9.68095", '%i',"a"
"zł","PLN","Polish Złoty","4.35227", '%i',"a"
"lei","RON","Romanian leu","4.52747", '%i',"a"
"руб","RUB","Russian ruble","80.41301", '%i',"a"
"Дин.","RSD","Serbian dinar","0.96860", '%i',"a"
"Sk ","SKK","Slovak koruna","0.96860", '%i',"a"
"kr","SEK","Swedish krona","9.26395", '%i',"a"
"₴","UAH","Ukrainian hryvnia","0.96860", '%i',"a"
